participant,date,start_time,end_time,valence,tense_arousal,energetic_arousal,events,occasion,study_day
A3FNz,16/11/21,,,,,,,1,1
A3FNz,16/11/21,2021-11-16 10:05:50.622374+01:00,2021-11-16 10:06:02.641532+01:00,23.65196078,16.05392157,86.76470588,0,2,1
A3FNz,16/11/21,2021-11-16 13:04:09.393558+01:00,2021-11-16 13:04:17.326164+01:00,19.9754902,69.73039216,78.43137255,17.89215686,3,1
A3FNz,16/11/21,,,,,,,4,1
A3FNz,16/11/21,2021-11-16 19:37:45.838854+01:00,2021-11-16 19:37:56.969752+01:00,30.75980392,26.34803922,53.06372549,0,5,1
A3FNz,16/11/21,2021-11-16 22:01:14.335311+01:00,2021-11-16 22:01:25.117772+01:00,26.10294118,17.89215686,20.46568627,26.59313725,6,1
A3XAe,16/11/21,,,,,,,1,1
A3XAe,16/11/21,,,,,,,2,1
A3XAe,16/11/21,,,,,,,3,1
A3XAe,16/11/21,2021-11-16 16:00:07.908458+01:00,2021-11-16 16:00:33.135010+01:00,38.48821467,91.13605384,78.84252144,0,4,1
A3XAe,16/11/21,2021-11-16 19:00:24.461171+01:00,2021-11-16 19:01:05.876535+01:00,18.62943245,71.65553353,69.00769436,0,5,1
A3XAe,16/11/21,,,,,,,6,1
A3XNv,16/11/21,2021-11-16 09:46:21.405503+01:00,2021-11-16 09:46:43.132748+01:00,16.84570313,58.28968395,61.15278764,0,1,1
A3XNv,16/11/21,2021-11-16 10:18:52.654736+01:00,2021-11-16 10:19:04.607592+01:00,19.77539063,34.45268111,57.05788352,0,2,1
A3XNv,16/11/21,2021-11-16 13:02:00.754650+01:00,2021-11-16 13:02:08.600096+01:00,27.79873935,50,67.51154119,0,3,1
A3XNv,16/11/21,2021-11-16 16:11:07.237672+01:00,2021-11-16 16:11:19.853908+01:00,17.07874645,50,49.40074574,-8.356267756,4,1
A3XNv,16/11/21,2021-11-16 19:00:50.700504+01:00,2021-11-16 19:01:01.094511+01:00,25.60147372,29.59206321,73.20445668,27.39923651,5,1
A3XNv,16/11/21,2021-11-16 22:01:28.887532+01:00,2021-11-16 22:01:35.505680+01:00,24.00346236,21.23579545,61.88520952,0,6,1
Ac3N5,16/11/21,,,,,,,1,1
Ac3N5,16/11/21,2021-11-16 10:00:19.407265+01:00,2021-11-16 10:00:25.873842+01:00,28.19359519,30.25817871,73.02161323,0,2,1
Ac3N5,16/11/21,2021-11-16 13:02:00.971366+01:00,2021-11-16 13:02:09.610244+01:00,23.40005432,71.00328388,78.82432263,0,3,1
Ac3N5,16/11/21,2021-11-16 16:00:56.571274+01:00,2021-11-16 16:01:02.198026+01:00,19.48952723,33.41182362,67.84963126,0,4,1
Ac3N5,16/11/21,2021-11-16 19:02:50.640001+01:00,2021-11-16 19:03:05.613916+01:00,23.14776026,34.92557256,73.02161323,0,5,1
